genre,best_C,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc
classical,0.1,0.8109999999999999,0.6085754640839387,0.7052549019607844,0.6525920266454966,0.8072860692196342
hardcore,0.001,0.787,0.5582883427525545,0.7256470588235293,0.6302079190609534,0.7998282826687723
sleep,10.0,0.766,0.5324497186614554,0.8202865761689291,0.6440676087733055,0.8377077155353903
comedy,0.001,0.72,0.46670701927480546,0.4182148040638607,0.44073977782393625,0.6617194269148448
drum-and-bass,10.0,0.717,0.46290678736619173,0.7345098039215685,0.5677254908624703,0.7853038820897487
rockabilly,0.01,0.7110000000000001,0.45352813922502566,0.6960000000000001,0.5465499593076426,0.7734399999999999
jazz,1.0,0.7070000000000001,0.4481732615799534,0.664,0.5326861603664147,0.76144
k-pop,10.0,0.6976733668341708,0.44588497982003367,0.8138823529411765,0.5755815798171059,0.7963708066850901
soul,0.001,0.684,0.4225608595900507,0.6574901960784315,0.5138293762006628,0.7250766837741809
iranian,0.1,0.68,0.4339703134332312,0.6566037735849056,0.5217419019872576,0.7350789372352715
swedish,0.1,0.674,0.41357090401703756,0.687843137254902,0.515841024934564,0.7230234767732597
show-tunes,10.0,0.665,0.39325588160847,0.5811764705882354,0.4683031603945926,0.6698264455849454
guitar,10.0,0.659,0.4115234647149541,0.7192307692307692,0.5226523629503446,0.7281185031185031
trance,0.001,0.6540000000000001,0.43063045707090364,0.7231818181818181,0.5391190528228209,0.6903143021968453
breakbeat,0.1,0.653,0.3927480977766396,0.6341628959276018,0.4843151392054506,0.6968164476997877
reggae,0.01,0.649,0.3810626536632729,0.5659125188536953,0.4547346603219634,0.6228869942401327
new-age,10.0,0.648,0.3732529642382106,0.6131764705882354,0.4628169649400447,0.7035497618107646
groove,10.0,0.646,0.4189475448298977,0.7896969696969698,0.5470460007995249,0.7456808297110612
indie,10.0,0.643,0.3840715920686137,0.5757619738751814,0.4605237834395802,0.6607474630891074
folk,0.1,0.642,0.385508764023691,0.6874509803921569,0.49228082904044657,0.7053974365048032
romance,1.0,0.641,0.3956112905690965,0.5375974025974026,0.4554180171129364,0.6454204607652884
blues,1.0,0.6399999999999999,0.38882274998628785,0.6484034833091437,0.48353159907189786,0.6932503547058804
disco,10.0,0.6399999999999999,0.37246627230189294,0.6153725490196079,0.46299667436361186,0.6782064376891696
hard-rock,0.001,0.631,0.3783760458800857,0.6150943396226415,0.4674240995569125,0.6565652676164806
cantopop,0.01,0.631,0.3793840232404189,0.7261176470588235,0.4979335785813479,0.6965738228714304
piano,0.01,0.627,0.3864163395086465,0.5927272727272728,0.46676817467047266,0.6799247648902822
rock,1.0,0.627,0.35604675723482593,0.616,0.45107432158021965,0.67208
opera,0.1,0.625,0.3547577147104365,0.5586726998491705,0.4326919003942959,0.6187211996380966
spanish,1.0,0.625,0.3767757003840626,0.7036199095022624,0.48960066719553,0.7109258498150128
j-rock,1.0,0.622,0.36529170415158,0.667921568627451,0.4722170120921839,0.6783459349914462
metalcore,100.0,0.621,0.39580387672963335,0.6583333333333333,0.4942866550128824,0.6767326788708368
french,0.1,0.617,0.3799790621278387,0.6943396226415095,0.4906739228997063,0.6787575407521499
children,0.01,0.6129999999999999,0.35652869997511377,0.6344645550527903,0.4554066145136818,0.665654562136007
study,1.0,0.611,0.36511075662055814,0.5962962962962963,0.4527241993360356,0.6213597158802638
dance,0.1,0.61,0.3403902047609141,0.5411764705882354,0.4157850660581374,0.6047243058297145
kids,0.001,0.61,0.35173707773707774,0.5357791754018169,0.4237858305372363,0.5903336441552296
black-metal,10.0,0.609,0.34417369853947627,0.5984313725490196,0.436911467242302,0.6317451033030661
hardstyle,100.0,0.608,0.35610622791298335,0.6304675716440422,0.45412274113609225,0.6647368115785014
disney,1.0,0.607,0.36142958262539154,0.6501451378809869,0.46387796238918944,0.6457296200557656
club,0.1,0.6060000000000001,0.3587921862987739,0.6247460087082729,0.45567858952274803,0.6320589605630037
industrial,1.0,0.6060000000000001,0.3513184577155378,0.6306938159879336,0.45105043172281284,0.6697314916422694
j-dance,1.0,0.606,0.3581551230505252,0.5857442348008386,0.4432621737395239,0.6499479847077971
emo,1.0,0.6040000000000001,0.3453333060063516,0.5634252539912918,0.4263365535041951,0.6179249402463689
garage,0.1,0.602,0.3770159871640471,0.637155388471178,0.4726133875642343,0.6344680584400979
death-metal,0.1,0.601,0.3462931220825958,0.6186274509803921,0.4436448844629889,0.6322193648141143
techno,0.1,0.5980000000000001,0.34208339499169665,0.57526395173454,0.42686354629363416,0.6232494106211044
gospel,0.001,0.598,0.34965411163897286,0.5053896103896104,0.41305403950689296,0.6023704408618202
mandopop,10.0,0.5970000000000001,0.37402646373234605,0.6474937343358397,0.4738514558272401,0.6526347099537888
detroit-techno,0.01,0.596,0.3130836766981345,0.4901960784313726,0.38160014019162103,0.5924726937754967
