genre,best_C,best_threshold,cv_f1,roc_auc
classical,0.1,0.6691582036263953,0.6917960088691796,0.8062835440614045
sleep,10.0,0.670747969225978,0.6716141001855288,0.8370794480846775
hardcore,0.001,0.5001567887720155,0.6308492201039861,0.7951318889994096
k-pop,0.1,0.5169410717048825,0.5915492957746479,0.7959297507490279
drum-and-bass,0.1,0.49361948190410093,0.5744047619047619,0.7831651600033952
rockabilly,0.01,0.5054900674820352,0.5619834710743802,0.7687893333333332
iranian,0.01,0.5700445488167806,0.5520833333333334,0.7211500449236299
groove,10.0,0.5145131791730714,0.5490196078431373,0.7438233641595675
trance,0.001,0.4958877941383387,0.5442708333333334,0.6883681420514558
jazz,1.0,0.387854037698433,0.5406824146981627,0.7588906666666667
guitar,10.0,0.5529269659033693,0.5325077399380805,0.7234355509355509
soul,0.01,0.48819489838356284,0.5291607396870555,0.7396270925249624
swedish,10.0,0.5086004195205883,0.5263157894736842,0.7181320803636151
piano,0.1,0.37937153334761203,0.5171339563862928,0.6794633228840126
comedy,1.0,0.5010661495446482,0.5130718954248366,0.6976283463429482
metalcore,10.0,0.4818268988262831,0.50187265917603,0.6752730908388974
french,10.0,0.4284755997216967,0.5011337868480725,0.6769965344628417
cantopop,0.01,0.5019889388469617,0.4993103448275862,0.6932295645530939
new-age,10.0,0.43677859947277226,0.49877750611246946,0.7012138362438098
spanish,10.0,0.5510434002186743,0.49770992366412214,0.7077810537781943
blues,1.0,0.41089809442879704,0.4970691676436108,0.6865005482115889
folk,0.1,0.5057616705666425,0.4963924963924964,0.7051632088300501
breakbeat,0.01,0.5035721021134154,0.4948148148148148,0.6913579923645333
sad,10.0,0.4394841022042256,0.49256900212314225,0.6076579563833797
r-n-b,10.0,0.42581051664719266,0.4919278252611586,0.5471622242647058
mandopop,0.1,0.43625959976177026,0.4894067796610169,0.6539480001385871
children,0.1,0.39985012414663873,0.4845814977973568,0.6692659373347088
disney,0.01,0.48608756178227036,0.48431618569636137,0.6463542983320522
mpb,1.0,0.24037843073699763,0.48377125193199383,0.5307009616498668
latin,0.1,0.384407672214499,0.4837291116974494,0.6051406944692519
hard-rock,10.0,0.4540599679873249,0.48318804483188044,0.6652162751893211
british,0.1,0.5002628374968952,0.4830097087378641,0.6669428553334318
j-pop,0.001,0.502448161442348,0.48180677540777916,0.6526946263788369
j-dance,0.001,0.4904534597812232,0.4817001180637544,0.6455121931326971
garage,0.1,0.43786615903114917,0.47770700636942676,0.6315538089180801
j-rock,0.1,0.49892568666342474,0.4759284731774415,0.6782307093988602
