genre,best_C,best_threshold,accuracy,f1,roc_auc
classical,0.1,0.7588722562651758,0.864,0.6582914572864321,0.8062835440614045
sleep,10.0,0.6952839650634535,0.828,0.6704980842911877,0.8370794480846775
hardcore,0.001,0.5206001264210337,0.793,0.6159554730983302,0.7951318889994096
iranian,0.1,0.7000582644152967,0.789,0.498812351543943,0.7289025798998845
jazz,1.0,0.752950152113817,0.782,0.41081081081081083,0.7588906666666667
drum-and-bass,10.0,0.7128550622326676,0.781,0.4942263279445728,0.7855843094813684
k-pop,10.0,0.7964180184284748,0.7677677677677678,0.30952380952380953,0.7957916321370138
rock,1.0,0.7570442548653827,0.764,0.20270270270270271,0.6688693333333333
show-tunes,10.0,0.7548065307900682,0.762,0.2787878787878788,0.6693175865517407
comedy,0.001,0.600354585871628,0.761,0.46770601336302897,0.6622315315919538
new-age,10.0,0.8572859354803164,0.761,0.15547703180212014,0.7012138362438098
rockabilly,0.01,0.7361454611788771,0.76,0.2727272727272727,0.7687893333333332
swedish,0.1,0.7932042308341747,0.76,0.16666666666666666,0.7187458662052689
folk,0.1,0.8321223659850372,0.755,0.07547169811320754,0.7051632088300501
spanish,1.0,0.8357704275834937,0.755,0.10256410256410256,0.7080167163303674
industrial,1.0,0.71478030080397,0.754,0.2634730538922156,0.6708684426894858
reggaeton,100.0,0.9313612840357848,0.751,0.00796812749003984,0.5818026666666667
indie,10.0,0.7868818848596721,0.751,0.18360655737704917,0.6605731225296442
synth-pop,0.1,0.674378486237031,0.75,0.038461538461538464,0.5517662327991106
opera,0.1,0.6977257207971646,0.75,0.20382165605095542,0.6201434391801075
punk,10.0,0.8096771962299634,0.75,0.015748031496062992,0.6030133333333334
disco,10.0,0.9238627461746888,0.749,0.01568627450980392,0.6742291613615143
british,0.001,0.584149823875297,0.749,0.06691449814126393,0.6615545375862869
cantopop,0.01,0.8631899973297747,0.749,0.007905138339920948,0.6932295645530939
breakbeat,0.1,0.8062779010133154,0.749,0.09386281588447654,0.6951076454168871
anime,0.01,0.6086586530677541,0.749,0.052830188679245285,0.5699152655067314
indie-pop,1.0,0.7488598390687681,0.749,0.14334470989761092,0.6255191122329813
soul,0.001,0.5331558461423166,0.749,0.3085399449035813,0.7246390196533744
latino,10.0,0.8405906970411029,0.749,0.0,0.57448
black-metal,10.0,0.7803751051201642,0.748,0.045454545454545456,0.6310664752696797
pagode,0.001,0.5444984916171505,0.748,0.015625,0.5652135854341737
alt-rock,0.1,0.7425744944610279,0.748,0.023255813953488372,0.611168144511407
salsa,0.1,0.772826400401412,0.748,0.0,0.5015026675673807
heavy-metal,0.1,0.7439302282626358,0.748,0.08029197080291971,0.6186735035824659
country,0.1,0.637307612472499,0.748,0.24550898203592814,0.5992774209486166
j-rock,1.0,0.8038471676590091,0.747,0.045283018867924525,0.6788392039832585
