genre,best_C,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc
classical,0.1,0.8109999999999999,0.6085754640839387,0.7052549019607844,0.6525920266454966,0.8072860692196342
sleep,10.0,0.766,0.5324497186614554,0.8202865761689291,0.6440676087733055,0.8377077155353903
hardcore,0.001,0.787,0.5582883427525545,0.7256470588235293,0.6302079190609534,0.7998282826687723
k-pop,0.1,0.6966683417085427,0.44636300719666344,0.8378039215686274,0.5821836175048777,0.7968245295433609
drum-and-bass,0.1,0.714,0.46029748353773475,0.7581960784313726,0.5727057540573481,0.7826915909988157
groove,10.0,0.646,0.4189475448298977,0.7896969696969698,0.5470460007995249,0.7456808297110612
rockabilly,0.01,0.7110000000000001,0.45352813922502566,0.6960000000000001,0.5465499593076426,0.7734399999999999
trance,0.001,0.6540000000000001,0.43063045707090364,0.7231818181818181,0.5391190528228209,0.6903143021968453
jazz,1.0,0.7070000000000001,0.4481732615799534,0.664,0.5326861603664147,0.76144
iranian,0.01,0.6799999999999999,0.43164241044824336,0.6641509433962264,0.5231150035542311,0.7274034141958671
guitar,10.0,0.659,0.4115234647149541,0.7192307692307692,0.5226523629503446,0.7281185031185031
swedish,10.0,0.673,0.41404145153935545,0.695686274509804,0.5182188251888351,0.7224515804711146
soul,0.01,0.675,0.4174863391576282,0.6810196078431373,0.5163584531679185,0.7396338307672062
comedy,1.0,0.7,0.4493815135689746,0.5967343976777939,0.5115294387803119,0.6975765356156192
cantopop,0.01,0.631,0.3793840232404189,0.7261176470588235,0.4979335785813479,0.6965738228714304
metalcore,10.0,0.6200000000000001,0.3955353505335462,0.661842105263158,0.49505518517071323,0.6760139622804096
folk,0.1,0.642,0.385508764023691,0.6874509803921569,0.49228082904044657,0.7053974365048032
breakbeat,0.01,0.6500000000000001,0.3934351977029829,0.6574660633484164,0.49160161308843,0.692507056541798
french,10.0,0.6169999999999999,0.37998927483010575,0.6943396226415094,0.4907183912284584,0.6778590681555642
spanish,10.0,0.625,0.3770765824322245,0.7036953242835595,0.4898525793166898,0.7107955804585295
piano,0.1,0.62,0.3904672610118155,0.6581818181818182,0.48882200601945824,0.6807272727272727
blues,1.0,0.6399999999999999,0.38882274998628785,0.6484034833091437,0.48353159907189786,0.6932503547058804
british,0.1,0.5740000000000001,0.34974218116864453,0.7837647058823529,0.4830344524779681,0.6693665271746283
j-pop,0.001,0.577,0.3539467538114642,0.7490196078431373,0.4800500999352909,0.6529431240815962
mandopop,0.1,0.597,0.3748258287398189,0.6545739348370928,0.4762661752941078,0.653451309290125
j-rock,0.1,0.619,0.36427849007409746,0.6757647058823529,0.47331397190552116,0.6766915594157126
garage,0.1,0.602,0.3770159871640471,0.637155388471178,0.4726133875642343,0.6344680584400979
hard-rock,10.0,0.627,0.3780831903170725,0.630188679245283,0.47208927936118067,0.6656526761648055
j-dance,0.001,0.6039999999999999,0.36708160715525967,0.6571628232005591,0.47042210825885694,0.6493585073672212
disney,0.01,0.5980000000000001,0.359569811086986,0.6804789550072569,0.47010515609495745,0.6488186532997854
show-tunes,10.0,0.665,0.39325588160847,0.5811764705882354,0.4683031603945926,0.6698264455849454
disco,10.0,0.6399999999999999,0.37246627230189294,0.6153725490196079,0.46299667436361186,0.6782064376891696
new-age,10.0,0.648,0.3732529642382106,0.6131764705882354,0.4628169649400447,0.7035497618107646
indie,10.0,0.643,0.3840715920686137,0.5757619738751814,0.4605237834395802,0.6607474630891074
happy,0.1,0.5810000000000001,0.3473617577391162,0.6901960784313725,0.4593325397011306,0.6309382813528096
children,0.1,0.6129999999999999,0.35783452972740565,0.638235294117647,0.4572156157692894,0.672218784121666
hardstyle,0.1,0.6010000000000001,0.35314636583279363,0.6498491704374058,0.45705182553460644,0.6601883379173155
club,0.1,0.6060000000000001,0.3587921862987739,0.6247460087082729,0.45567858952274803,0.6320589605630037
romance,1.0,0.641,0.3956112905690965,0.5375974025974026,0.4554180171129364,0.6454204607652884
reggae,0.01,0.649,0.3810626536632729,0.5659125188536953,0.4547346603219634,0.6228869942401327
study,1.0,0.611,0.36511075662055814,0.5962962962962963,0.4527241993360356,0.6213597158802638
industrial,10.0,0.606,0.351295357708425,0.6306938159879336,0.4511025073718167,0.6701499458704354
rock,1.0,0.627,0.35604675723482593,0.616,0.45107432158021965,0.67208
world-music,0.01,0.522,0.32427984872371074,0.7293501048218028,0.44844142032337697,0.6062864656502732
acoustic,0.01,0.562,0.34854861644586477,0.6210526315789473,0.4458856684833788,0.5925653294074346
sad,10.0,0.592,0.37580138624399695,0.5487005649717515,0.44563428701043,0.6078703741864578
death-metal,10.0,0.5980000000000001,0.3454333403842086,0.6223227752639516,0.4437797205927746,0.6328077895685477
dub,100.0,0.567,0.33612516973419226,0.6512336719883889,0.4428696896658953,0.6170776121416284
tango,1.0,0.5740000000000001,0.34883553031352205,0.6024025974025975,0.44125766184040616,0.6124985087948449
samba,1.0,0.571,0.3479330018246035,0.5978696741854638,0.43959545147349094,0.6044772068209567
latin,0.1,0.564,0.3527482327381057,0.5798947983635301,0.4381797820290359,0.6057378000505698
techno,0.01,0.595,0.34517466660323803,0.6023378582202111,0.4372124219866155,0.6265690665611707
black-metal,10.0,0.609,0.34417369853947627,0.5984313725490196,0.436911467242302,0.6317451033030661
opera,0.001,0.604,0.3461977149683063,0.5939668174962293,0.4355632754342432,0.6238162936692349
