,acoustic,afrobeat,alt-rock,alternative,ambient,anime,black-metal,bluegrass,blues,brazil,breakbeat,british,cantopop,chicago-house,children,chill,classical,club,comedy,country,dance,dancehall,death-metal,deep-house,detroit-techno,disco,disney,drum-and-bass,dub,dubstep,edm,electro,electronic,emo,folk,forro,french,funk,garage,german,gospel,goth,grindcore,groove,grunge,guitar,happy,hard-rock,hardcore,hardstyle,heavy-metal,hip-hop,honky-tonk,house,idm,indian,indie,indie-pop,industrial,iranian,j-dance,j-idol,j-pop,j-rock,jazz,k-pop,kids,latin,latino,malay,mandopop,metal,metalcore,minimal-techno,mpb,new-age,opera,pagode,party,piano,pop,pop-film,power-pop,progressive-house,psych-rock,punk,punk-rock,r-n-b,reggae,reggaeton,rock,rock-n-roll,rockabilly,romance,sad,salsa,samba,sertanejo,show-tunes,singer-songwriter,ska,sleep,songwriter,soul,spanish,study,swedish,synth-pop,tango,techno,trance,trip-hop,turkish,world-music
acoustic,0.4774066797642436,0.2792452830188679,0.29838709677419356,0.328719723183391,0.33613445378151263,0.25663716814159293,0.02214022140221402,0.40512820512820513,0.28184281842818426,0.3188405797101449,0.14457831325301204,0.3483483483483483,0.43156843156843155,0.3281853281853282,0.4590818363273453,0.41517386722866173,0.314878892733564,0.34385964912280703,0.360313315926893,0.3702857142857143,0.32954545454545453,0.31741140215716485,0.029304029304029304,0.3323262839879154,0.24480369515011546,0.40117994100294985,0.3554987212276215,0.14678899082568808,0.30870279146141216,0.2970639032815199,0.33580980683506684,0.353393085787452,0.26479750778816197,0.35581061692969873,0.40572792362768495,0.28522920203735147,0.3675832127351664,0.2433234421364985,0.2536997885835095,0.2508710801393728,0.36654366543665434,0.1981981981981982,0.007067137809187279,0.1935483870967742,0.21875,0.2926829268292683,0.0960960960960961,0.26439232409381663,0.2663316582914573,0.11666666666666667,0.1557632398753894,0.35374149659863946,0.3996333638863428,0.3476968796433878,0.22857142857142856,0.3333333333333333,0.3145809414466131,0.29431438127090304,0.27918781725888325,0.047619047619047616,0.3292035398230089,0.1927710843373494,0.25487256371814093,0.19718309859154928,0.27800829875518673,0.2814814814814815,0.3811563169164882,0.35984354628422427,0.36766623207301175,0.3851851851851852,0.4296875,0.18453865336658354,0.06984126984126984,0.3155818540433925,0.385,0.2459016393442623,0.27137042062415195,0.22529644268774704,0.3669064748201439,0.4196185286103542,0.3790849673202614,0.36635006784260515,0.267515923566879,0.30716723549488056,0.37181409295352325,0.2039045553145336,0.25054945054945055,0.37817258883248733,0.33156498673740054,0.34946236559139787,0.34795763993948564,0.379182156133829,0.4682926829268293,0.2997032640949555,0.40963855421686746,0.327217125382263,0.30313588850174217,0.2616822429906542,0.3700234192037471,0.38364167478091526,0.2583170254403131,0.23853211009174313,0.38364167478091526,0.36363636363636365,0.40540540540540543,0.29554655870445345,0.37084398976982097,0.3425925925925926,0.30602782071097373,0.22924901185770752,0.2824601366742597,0.30458715596330277,0.3413078149920255,0.3989501312335958
afrobeat,0.44461778471138846,0.4392857142857143,0.40160642570281124,0.40861931364724663,0.4120603015075377,0.399673735725938,0.41233766233766234,0.44553644553644556,0.4142857142857143,0.4089101034208433,0.42344706911636043,0.4080645161290323,0.402555910543131,0.40728831725616294,0.40839386602098465,0.4377952755905512,0.42727272727272725,0.4146341463414634,0.4164687252573238,0.4164687252573238,0.4063745019920319,0.4117647058823529,0.40898155573376105,0.4256026600166251,0.381294964028777,0.40097799511002447,0.42504118616144976,0.408130081300813,0.4234161988773055,0.4397496087636933,0.42022116903633494,0.4214680347277032,0.42037186742118027,0.414614773629865,0.4028892455858748,0.45081332300542215,0.41878980891719747,0.4174603174603175,0.43789808917197454,0.42295081967213116,0.436278342455043,0.4140687450039968,0.4249201277955272,0.42351046698872785,0.4208860759493671,0.41081994928148774,0.40514469453376206,0.4177215189873418,0.40096618357487923,0.40796812749003986,0.4,0.4423676012461059,0.4184168012924071,0.4174603174603175,0.4088397790055249,0.4142857142857143,0.41395717684377475,0.40669856459330145,0.4161943319838057,0.3877381938690969,0.4203013481363997,0.4117647058823529,0.4120922832140016,0.4032,0.39611964430072755,0.4012841091492777,0.4191235059760956,0.4535603715170279,0.400320256204964,0.4267716535433071,0.43871975019516,0.44253322908522286,0.43871975019516,0.4264264264264264,0.4798172124904798,0.40478223740392827,0.4067796610169492,0.402555910543131,0.40669856459330145,0.4153191489361702,0.43993759750390016,0.4152139461172742,0.42096902303415407,0.4329896907216495,0.4194577352472089,0.4003228410008071,0.41626794258373206,0.48484848484848486,0.41017488076311603,0.400320256204964,0.4,0.4117647058823529,0.3996789727126806,0.436278342455043,0.45987654320987653,0.39839357429718875,0.43871975019516,0.43137254901960786,0.4038308060654429,0.4063745019920319,0.4330708661417323,0.3663833805476865,0.4063745019920319,0.4057507987220447,0.4098883572567783,0.4131374243733794,0.40415335463258784,0.40454914703493094,0.438140267927502,0.4211485870556062,0.43381180223285487,0.41852487135506006,0.44028103044496486,0.42662389735364875
alt-rock,0.41595441595441596,0.3718104495747266,0.4338308457711443,0.41869158878504675,0.3556531284302964,0.374,0.39728353140916806,0.35658914728682173,0.4090909090909091,0.3586358635863586,0.4119291705498602,0.3620689655172414,0.43984220907297833,0.3996316758747698,0.2088495575221239,0.42115768463073855,0.3593220338983051,0.409683426443203,0.29651162790697677,0.3658787255909558,0.40355555555555556,0.414070351758794,0.4170940170940171,0.39378238341968913,0.36704119850187267,0.3337612323491656,0.37889039242219213,0.40858369098712444,0.4305799648506151,0.43973941368078173,0.4216972878390201,0.4045936395759717,0.42628774422735344,0.42775665399239543,0.4186046511627907,0.2549019607843137,0.4305555555555556,0.41009463722397477,0.4386317907444668,0.4136504653567735,0.4412296564195298,0.4365781710914454,0.4110813226094727,0.4165915238954013,0.41935483870967744,0.42643391521197005,0.3584158415841584,0.4387229660144181,0.3678646934460888,0.3956043956043956,0.3977379830348728,0.4297832233741753,0.2751937984496124,0.41674087266251114,0.3854473942969518,0.3938144329896907,0.4214634146341463,0.3911368015414258,0.3833805476864967,0.40146654445462876,0.42992623814541625,0.36926147704590817,0.36528758829465185,0.4329268292682927,0.43586550435865506,0.43564356435643564,0.2784090909090909,0.42217898832684825,0.3903420523138833,0.40210526315789474,0.4475873544093178,0.43029259896729777,0.41602728047740833,0.4233576642335766,0.4057217165149545,0.40696409140369966,0.40216216216216216,0.14742014742014742,0.3615819209039548,0.30749354005167956,0.4543761638733706,0.4108761329305136,0.3866837387964149,0.41304347826086957,0.371571072319202,0.39436619718309857,0.4146341463414634,0.3611111111111111,0.3625254582484725,0.3900990099009901,0.4433094994892748,0.24398625429553264,0.20647773279352227,0.403530895334174,0.38676318510858326,0.2779783393501805,0.2203742203742204,0.23076923076923078,0.4056603773584906,0.385395537525355,0.3157894736842105,0.1613588110403397,0.385395537525355,0.45255474452554745,0.388646288209607,0.39663236669784846,0.45111111111111113,0.3181312569521691,0.302158273381295,0.39965095986038396,0.424192212096106,0.44,0.42565597667638483,0.4464446444644464
alternative,0.2992957746478873,0.2222222222222222,0.444743935309973,0.45392022008253097,0.2975517890772128,0.29160063391442154,0.3871559633027523,0.1652892561983471,0.336,0.2903752039151713,0.4069767441860465,0.2616487455197133,0.26737967914438504,0.3574660633484163,0.06153846153846154,0.28402366863905326,0.24489795918367346,0.36938031591737547,0.11149825783972125,0.3034257748776509,0.3707865168539326,0.21951219512195122,0.42447418738049714,0.33405639913232105,0.33876221498371334,0.2766355140186916,0.19263456090651557,0.3932702418506835,0.4326812428078251,0.41352657004830917,0.36342042755344417,0.34054834054834054,0.4068965517241379,0.34643377001455605,0.35018050541516244,0.03680981595092025,0.4263322884012539,0.2874251497005988,0.3059210526315789,0.3567921440261866,0.42080378250591016,0.42988204456094364,0.3744186046511628,0.38258877434135163,0.38977635782747605,0.21529745042492918,0.3192019950124688,0.40214477211796246,0.2507836990595611,0.3603192702394527,0.3844444444444444,0.33125,0.06734006734006734,0.37812128418549346,0.3162162162162162,0.28027681660899656,0.3613595706618962,0.3242320819112628,0.35545556805399325,0.37825059101654845,0.3004115226337449,0.2709677419354839,0.2913907284768212,0.3829787234042553,0.2532981530343008,0.36418816388467373,0.15130023640661938,0.3121951219512195,0.3777403035413153,0.2809917355371901,0.3869281045751634,0.41109969167523125,0.36271529888551163,0.4186851211072664,0.27213822894168466,0.29333333333333333,0.3057324840764331,0.047619047619047616,0.28507795100222716,0.28077753779697623,0.358974358974359,0.2964169381107492,0.28346456692913385,0.38872104733131924,0.22937625754527163,0.3301282051282051,0.33125,0.16774193548387098,0.31654676258992803,0.34035087719298246,0.40498442367601245,0.08360128617363344,0.0625,0.16422287390029325,0.21388367729831145,0.13580246913580246,0.07854984894259819,0.08024691358024691,0.34101382488479265,0.31861804222648754,0.2178649237472767,0.08184143222506395,0.31861804222648754,0.40808823529411764,0.2953020134228188,0.1393258426966292,0.41754385964912283,0.28912071535022354,0.03322259136212625,0.37764932562620424,0.39037927844588344,0.37215528781793844,0.35222052067381315,0.44541484716157204
ambient,0.44461901021209743,0.39792387543252594,0.40399002493765584,0.4155844155844156,0.43010752688172044,0.39069767441860465,0.4103831891223733,0.43312101910828027,0.4075595727198028,0.37065637065637064,0.3691722169362512,0.4080267558528428,0.4045307443365696,0.4151593453919035,0.41206896551724137,0.4059869036482694,0.3833757421543681,0.43529411764705883,0.31496062992125984,0.40927258193445243,0.4003466204506066,0.4046511627906977,0.41540256709451573,0.41887417218543044,0.40222428174235403,0.4119601328903654,0.4199475065616798,0.4247598719316969,0.40487347703842547,0.43148148148148147,0.40304826418289585,0.409366869037294,0.40619307832422585,0.4091778202676864,0.40939597315436244,0.4576,0.46435845213849286,0.36212278876170656,0.44648829431438125,0.39846005774783444,0.4238856181665265,0.4351687388987567,0.3677811550151976,0.41740674955595025,0.4328485885372113,0.3810330228619814,0.3675799086757991,0.42592592592592593,0.2144469525959368,0.40843507214206437,0.4306569343065693,0.41015625,0.41554321966693103,0.4137353433835846,0.4088717454194793,0.4188034188034188,0.39166666666666666,0.3942712721145746,0.38638454461821525,0.41403508771929826,0.456490727532097,0.3955479452054795,0.3970345963756178,0.3820794590025359,0.3957131079967024,0.38320209973753283,0.39878542510121456,0.41687763713080167,0.3814814814814815,0.4160839160839161,0.44075829383886256,0.4402730375426621,0.4012158054711246,0.40515653775322286,0.48181083265966046,0.43419788664745435,0.4178082191780822,0.398326359832636,0.3985890652557319,0.4358353510895884,0.4381926683716965,0.40957886044591246,0.42070665571076415,0.42650807136788443,0.4141331142152835,0.3962900505902192,0.41127694859038144,0.44070647603027757,0.39776951672862454,0.391304347826087,0.3937908496732026,0.41606425702811245,0.4029363784665579,0.4378600823045268,0.38981390793339865,0.4,0.45549738219895286,0.3979591836734694,0.3892100192678227,0.4006568144499179,0.43470935130581295,0.4652631578947368,0.4006568144499179,0.38493723849372385,0.43026435733819507,0.3938144329896907,0.41414141414141414,0.4065573770491803,0.40649017933390263,0.3974358974358974,0.44901960784313727,0.436429215509468,0.3996265172735761,0.42078364565587734
anime,0.3986636971046771,0.4199134199134199,0.3879231473010064,0.4026340545625588,0.14450867052023122,0.4297924297924298,0.33079847908745247,0.4011916583912612,0.36801541425818884,0.36116910229645094,0.3157894736842105,0.4671717171717172,0.3600867678958785,0.37444279346210996,0.4357754519505233,0.3645833333333333,0.4041994750656168,0.44201909959072305,0.3971631205673759,0.4225092250922509,0.3859948761742101,0.4030274361400189,0.31564625850340133,0.4342379958246347,0.29398663697104677,0.3938572719060524,0.39672131147540984,0.41706161137440756,0.3818565400843882,0.4080267558528428,0.4069264069264069,0.39037927844588344,0.3247232472324723,0.37735849056603776,0.32634032634032634,0.4481132075471698,0.3492063492063492,0.3656565656565657,0.39254170755642787,0.3534136546184739,0.3747323340471092,0.3663157894736842,0.3017543859649123,0.4470588235294118,0.4273972602739726,0.10622710622710622,0.3967168262653899,0.37340619307832423,0.3349950149551346,0.3813038130381304,0.3923809523809524,0.4082784571966134,0.39728682170542634,0.41308089500860584,0.2324455205811138,0.41814159292035397,0.3509127789046653,0.36585365853658536,0.417910447761194,0.08933002481389578,0.4140127388535032,0.4083044982698962,0.42934782608695654,0.39454545454545453,0.269185360094451,0.4391691394658754,0.40608228980322003,0.4393553859202714,0.3862433862433862,0.35119726339794755,0.40384615384615385,0.44299065420560746,0.4301288404360753,0.16477272727272727,0.46808510638297873,0.17901234567901234,0.2540983606557377,0.40065412919051513,0.3960720130932897,0.42560553633217996,0.41051567239635994,0.3899233296823658,0.4218362282878412,0.4488517745302714,0.4178498985801217,0.3845478489903424,0.41151566469093986,0.44802867383512546,0.4,0.3869257950530035,0.3746556473829201,0.3938294010889292,0.3641114982578397,0.33454545454545453,0.365296803652968,0.4,0.43500424808836025,0.4282073067119796,0.37906647807637905,0.37660818713450295,0.4309210526315789,0.01904761904761905,0.37660818713450295,0.33814432989690724,0.43767840152235965,0.08875739644970414,0.3872832369942196,0.4072072072072072,0.3592644978783593,0.3489208633093525,0.47619047619047616,0.30814814814814817,0.3580387685290764,0.4236343366778149
black-metal,0.44217151848937847,0.42063492063492064,0.4061738424045491,0.41285140562248995,0.38239339752407153,0.3838209982788296,0.4580498866213152,0.4371497197758207,0.41124497991967873,0.4100080710250202,0.40353697749196143,0.44663677130044843,0.41042345276872966,0.4117647058823529,0.40779853777416736,0.44603174603174606,0.5670731707317073,0.4184168012924071,0.4353182751540041,0.41554321966693103,0.4063745019920319,0.4114376489277204,0.4218455743879473,0.41712926249008725,0.41118421052631576,0.402555910543131,0.4316996871741397,0.40547063555913115,0.4183835182250396,0.4400939702427565,0.4218009478672986,0.4239558707643814,0.42280285035629456,0.41479099678456594,0.4009700889248181,0.4511627906976744,0.4184514003294893,0.41679873217115687,0.4458700882117081,0.40205128205128204,0.4375497215592681,0.41743503772003354,0.34314980793854033,0.42522231204527083,0.42148087876322216,0.40955004591368227,0.40166666666666667,0.41577649958915364,0.41333333333333333,0.40894568690095845,0.4080914687774846,0.4427123928293063,0.4192,0.41679873217115687,0.4163346613545817,0.41390460792239286,0.41346153846153844,0.4057738572574178,0.41118421052631576,0.237017310252996,0.4218009478672986,0.4105011933174224,0.41883116883116883,0.40816326530612246,0.4027420736932305,0.4035228182546037,0.4208860759493671,0.4539116963594113,0.400320256204964,0.42338072669826227,0.4400939702427565,0.4423076923076923,0.44841592201462227,0.42617717478052675,0.4774494556765163,0.39209726443769,0.3806228373702422,0.39967637540453077,0.40796812749003986,0.3893591293833132,0.4413145539906103,0.4171974522292994,0.42251223491027734,0.43423137876386686,0.4290484140233723,0.4079273327828241,0.42961757526444266,0.48307692307692307,0.4089101034208433,0.4,0.39903846153846156,0.4006436041834272,0.3853061224489796,0.4452423698384201,0.4637002341920375,0.4012789768185452,0.4323040380047506,0.43217665615141954,0.4144620811287478,0.39805825242718446,0.428343949044586,0.006153846153846154,0.39805825242718446,0.40836012861736337,0.41518578352180935,0.42255758538522636,0.40612409347300565,0.4003215434083601,0.43208895949166004,0.4125705076551168,0.4386677497969131,0.4358974358974359,0.43656422379826637,0.45099739809193407
bluegrass,0.4501197126895451,0.4248302618816683,0.4016260162601626,0.40770465489566615,0.36548223350253806,0.3889908256880734,0.4095394736842105,0.4597495527728086,0.40836012861736337,0.4061990212071778,0.41545064377682406,0.4231433506044905,0.4067796610169492,0.40645773979107314,0.4186440677966102,0.43485763589301124,0.5422647527910686,0.4219409282700422,0.4288224956063269,0.414614773629865,0.40702314445331206,0.4124203821656051,0.4100895036615134,0.4163934426229508,0.3699897225077081,0.3950413223140496,0.4592274678111588,0.40725474031327286,0.4276422764227642,0.44059795436664045,0.42289348171701113,0.42414614773629866,0.41487603305785126,0.41626794258373206,0.40161943319838056,0.4520222045995242,0.41127694859038144,0.416,0.43183742591024554,0.43380281690140843,0.43676355066771405,0.4141331142152835,0.42124212421242124,0.42105263157894735,0.42012779552715657,0.2877871825876663,0.40066225165562913,0.42375601926163725,0.3983606557377049,0.40705128205128205,0.4029363784665579,0.44253322908522286,0.4182895850973751,0.41878980891719747,0.40169133192389006,0.4150641025641026,0.41467304625199364,0.4032,0.41983471074380163,0.32979749276759884,0.4159362549800797,0.40770465489566615,0.41373801916932906,0.40612409347300565,0.3767872161480236,0.4035512510088781,0.41491085899513774,0.453416149068323,0.4022526146419952,0.42812006319115326,0.43871975019516,0.44357366771159873,0.4397496087636933,0.42931034482758623,0.4790322580645161,0.34405594405594403,0.3848190644307149,0.37900874635568516,0.40642570281124496,0.40357598978288634,0.43993759750390016,0.4185303514376997,0.4159220146222583,0.43464314354450684,0.41879637262984337,0.39902676399026765,0.4161290322580645,0.47863247863247865,0.408,0.40096230954290296,0.40096230954290296,0.4098360655737705,0.38971807628524047,0.4405940594059406,0.4482477587612062,0.3996683250414594,0.40793201133144474,0.423841059602649,0.4016326530612245,0.40224358974358976,0.43344155844155846,0.084,0.40224358974358976,0.4022526146419952,0.412287793047696,0.2820874471086037,0.4042037186742118,0.403957131079967,0.4430264357338195,0.40703517587939697,0.4292682926829268,0.4109090909090909,0.4353312302839117,0.4436974789915966
blues,0.34375,0.38202247191011235,0.40816326530612246,0.42282507015902715,0.41776315789473684,0.39177101967799643,0.405103668261563,0.3638368246968026,0.5017502917152858,0.3548740416210296,0.4268502581755594,0.357487922705314,0.3081967213114754,0.3861134631668078,0.21753246753246752,0.33715596330275227,0.2892199824715162,0.38675022381378693,0.23661971830985915,0.40493319630010277,0.375,0.29132569558101473,0.4089101034208433,0.4122137404580153,0.4019528071602929,0.39543726235741444,0.3806818181818182,0.40066225165562913,0.41681901279707495,0.4215767634854772,0.3838951310861423,0.3827956989247312,0.42907801418439717,0.3911290322580645,0.4182015167930661,0.36855670103092786,0.46186895810955964,0.2720897615708275,0.4389027431421446,0.3977055449330784,0.4131082423038729,0.4220665499124343,0.436278342455043,0.4465195246179966,0.4197924980047885,0.4743083003952569,0.3967479674796748,0.4292845257903494,0.2318840579710145,0.4039408866995074,0.40064102564102566,0.4105960264900662,0.3106508875739645,0.3969465648854962,0.3963815789473684,0.35053763440860214,0.3849462365591398,0.3808437856328392,0.3930921052631579,0.42231075697211157,0.37445573294629897,0.38924930491195553,0.35036496350364965,0.4028906955736224,0.3842364532019704,0.37383177570093457,0.2745664739884393,0.2954248366013072,0.2783661119515885,0.3644544431946007,0.3442982456140351,0.4421553090332805,0.438871473354232,0.4239043824701195,0.450199203187251,0.40386162510056317,0.40852575488454707,0.2757697456492637,0.3687374749498998,0.41680672268907565,0.3761467889908257,0.32413793103448274,0.4065843621399177,0.41895261845386533,0.3996282527881041,0.3993055555555556,0.4158918005071851,0.3751493428912784,0.3554868624420402,0.2834138486312399,0.4186046511627907,0.3763157894736842,0.3333333333333333,0.42083333333333334,0.35706214689265536,0.3328149300155521,0.39256678281068524,0.31643625192012287,0.3407960199004975,0.36471990464839094,0.41237113402061853,0.41091492776886035,0.36471990464839094,0.3333333333333333,0.3131201764057332,0.4223918575063613,0.38941798941798944,0.390745501285347,0.3285939968404423,0.4097959183673469,0.4399018806214227,0.4253075571177504,0.4011627906976744,0.4075993091537133
brazil,0.44461778471138846,0.42356687898089174,0.39838709677419354,0.40894568690095845,0.4289080911233307,0.39903846153846156,0.4060751398880895,0.43205027494108406,0.41566746602717825,0.410828025477707,0.40923566878980894,0.39807383627608345,0.4032,0.4117647058823529,0.40544871794871795,0.43993759750390016,0.4012789768185452,0.4177215189873418,0.41679873217115687,0.41620333598093723,0.4063745019920319,0.4114376489277204,0.40861931364724663,0.4164687252573238,0.40669856459330145,0.4019370460048426,0.41679873217115687,0.402555910543131,0.4177215189873418,0.43871975019516,0.4214680347277032,0.42630744849445323,0.42586750788643535,0.4133545310015898,0.40512409927942356,0.4498816101026046,0.41996830427892234,0.41679873217115687,0.4404104183109708,0.4208860759493671,0.436278342455043,0.41886490807354115,0.4364207221350079,0.42586750788643535,0.42038216560509556,0.4126984126984127,0.405103668261563,0.4226475279106858,0.408130081300813,0.4089101034208433,0.40290088638195004,0.4423676012461059,0.41373801916932906,0.4164687252573238,0.4089101034208433,0.4114376489277204,0.4152139461172742,0.4063745019920319,0.40927258193445243,0.41930379746835444,0.42338072669826227,0.41373801916932906,0.41115537848605577,0.40544871794871795,0.4,0.40384615384615385,0.42414614773629866,0.4539116963594113,0.4,0.4268774703557312,0.43871975019516,0.4376470588235294,0.43784206411258797,0.4239558707643814,0.47938931297709925,0.4012789768185452,0.40764331210191085,0.4025764895330113,0.407673860911271,0.4308176100628931,0.44028103044496486,0.4152139461172742,0.4191714053614947,0.43137254901960786,0.41633306645316254,0.3944805194805195,0.41633306645316254,0.487062404870624,0.4105011933174224,0.4,0.3980660757453666,0.4115755627009646,0.4013322231473772,0.436278342455043,0.4603541185527329,0.4019933554817276,0.4416403785488959,0.4317111459968603,0.4038308060654429,0.4025661587810746,0.4300395256916996,0.41058540497193263,0.4025661587810746,0.4064,0.40387722132471726,0.4251968503937008,0.40483870967741936,0.3957654723127036,0.436278342455043,0.4117647058823529,0.4350547730829421,0.4329411764705882,0.4409695074276779,0.4205533596837945
