genre,within_genre_f1,cross_genre_f1_mean,f1_generalization_gap
sleep,0.6716141001855288,0.014192784236494296,0.6574213159490345
iranian,0.5520833333333334,0.02491484892873739,0.527168484404596
hardcore,0.6308492201039861,0.22855582650375075,0.4022933936002354
rockabilly,0.5619834710743802,0.18156593920340203,0.38041753187097815
children,0.4845814977973568,0.1327905921727019,0.3517909056246549
guitar,0.5325077399380805,0.19484275507679372,0.3376649848612868
groove,0.5490196078431373,0.22890403768577244,0.32011557015736486
cantopop,0.4993103448275862,0.19429027644182406,0.3050200683857621
k-pop,0.5915492957746479,0.28852096312996894,0.30302833264467893
gospel,0.4617067833698031,0.17222144238860843,0.28948534098119466
classical,0.6917960088691796,0.4124017131879588,0.27939429568122076
sad,0.49256900212314225,0.24238613616119814,0.2501828659619441
spanish,0.49770992366412214,0.25796417970941915,0.239745743954703
metalcore,0.50187265917603,0.2665490320122718,0.23532362716375815
study,0.4633663366336634,0.23939406084113013,0.22397227579253326
pagode,0.40744797371303393,0.19042625750621664,0.2170217162068173
disco,0.46557377049180326,0.2536977340448867,0.21187603644691655
hard-rock,0.48318804483188044,0.27238947889173354,0.2107985659401469
mandopop,0.4894067796610169,0.28469427682738413,0.2047125028336328
dub,0.4590909090909091,0.25862272807605924,0.20046818101484987
swedish,0.5263157894736842,0.3278399187111278,0.1984758707625564
folk,0.4963924963924964,0.3029575469039074,0.19343494948858897
j-pop,0.48180677540777916,0.2922984643867643,0.18950831102101484
rock-n-roll,0.433264887063655,0.24749286642646262,0.1857720206371924
drum-and-bass,0.5744047619047619,0.38949316063459066,0.1849116012701712
latin,0.4837291116974494,0.3002989331279469,0.1834301785695025
j-rock,0.4759284731774415,0.2982797801838823,0.17764869299355923
acoustic,0.47477744807121663,0.3016896368474587,0.17308781122375794
soul,0.5291607396870555,0.3656317269044175,0.16352901278263798
samba,0.46782431052093976,0.3176411811168758,0.15018312940406398
kids,0.4305177111716621,0.2824167639005877,0.14810094727107442
breakbeat,0.4948148148148148,0.3497772981576555,0.1450375166571593
trance,0.5442708333333334,0.3996251837927319,0.1446456495406015
indie,0.4622792937399679,0.3228189096921903,0.1394603840477776
alternative,0.4383561643835616,0.30096810705032934,0.13738805733323228
jazz,0.5406824146981627,0.4113177220021025,0.1293646926960602
french,0.5011337868480725,0.3806347522506476,0.12049903459742495
british,0.4830097087378641,0.36598387152921524,0.11702583720864884
piano,0.5171339563862928,0.40038807195266357,0.11674588443362921
blues,0.4970691676436108,0.3809730464568746,0.11609612118673623
r-n-b,0.4919278252611586,0.3758357050265016,0.11609212023465698
dubstep,0.4580584354382658,0.34206735666127225,0.11599107877699355
deep-house,0.45391476709613476,0.3389377288617367,0.11497703823439809
emo,0.44493882091212456,0.33297567557026403,0.11196314534186053
funk,0.4581497797356828,0.3511362412154248,0.10701353852025802
indian,0.44471445929526127,0.33866167439554834,0.10605278489971293
death-metal,0.4544287548138639,0.35384397112280846,0.10058478369105545
comedy,0.5130718954248366,0.4141385837605364,0.09893331166430014
hardstyle,0.4592391304347826,0.3621120966975678,0.09712703373721482
rock,0.45919778699861685,0.3626178558068923,0.09657993119172453
show-tunes,0.47115384615384615,0.37745812788647004,0.0936957182673761
new-age,0.49877750611246946,0.40534821169562735,0.09342929441684211
industrial,0.4688995215311005,0.3786683204750872,0.09023120105601329
pop,0.46648793565683644,0.3825499662171561,0.08393796943968035
progressive-house,0.4507317073170732,0.3700345467945729,0.08069716052250026
mpb,0.48377125193199383,0.40489169101464606,0.07887956091734777
pop-film,0.44263959390862945,0.3638276752285084,0.07881191868012105
garage,0.47770700636942676,0.39934919559804133,0.07835781077138543
world-music,0.46855059252506837,0.3913641775744819,0.07718641495058648
club,0.4630541871921182,0.38741883142559813,0.07563535576652008
disney,0.48431618569636137,0.41049523436018276,0.07382095133617861
tango,0.46236559139784944,0.38946430552373645,0.07290128587411299
psych-rock,0.4394506866416979,0.3692554839319389,0.07019520270975899
chill,0.4650735294117647,0.394896681002305,0.0701768484094597
