genre,best_C,cv_f1
classical,0.1,0.6532272116383604
sleep,100.0,0.6440676087733055
hardcore,0.1,0.6170378521229596
k-pop,0.1,0.5887247100431685
drum-and-bass,10.0,0.5677254908624703
groove,10.0,0.5470460007995249
rockabilly,0.1,0.5413638055838126
jazz,1.0,0.5354409745880054
trance,0.1,0.5315702071222981
guitar,10.0,0.5226523629503446
swedish,10.0,0.5182188251888351
iranian,10.0,0.5130991781688317
comedy,10.0,0.5088135316096275
soul,10.0,0.5073242657192587
cantopop,0.1,0.5050905074823466
french,0.1,0.49580520693887725
metalcore,100.0,0.49361557333517825
spanish,1.0,0.4915673862052682
folk,10.0,0.49079487178585834
breakbeat,1.0,0.48754441468132803
blues,10.0,0.4822759068083295
piano,1.0,0.4814867585597197
british,1.0,0.47582510844672965
hard-rock,0.1,0.47578987373347104
j-rock,0.1,0.4754122917748044
mandopop,100.0,0.4732380059384279
show-tunes,1.0,0.4722260253083153
garage,1.0,0.47109129287059603
disney,0.1,0.4696043836035759
j-pop,0.1,0.46806781688709514
new-age,10.0,0.4628169649400447
disco,10.0,0.46160535646594186
indie,10.0,0.46131027430240695
romance,1.0,0.46005982399902
happy,0.1,0.45936688475733867
techno,0.1,0.4580339058230886
children,0.1,0.4563816512665123
acoustic,0.1,0.4557065233959413
hardstyle,100.0,0.45412274113609225
rock,1.0,0.45397287230485733
study,10.0,0.45212485861083335
tango,0.1,0.45197497591816144
industrial,10.0,0.4511025073718167
club,1.0,0.4480386144777169
sad,10.0,0.44776046350842647
reggae,1.0,0.44535351606041623
world-music,0.1,0.4448708416317433
j-dance,1.0,0.4443254740058163
latin,0.1,0.4438147085472667
death-metal,10.0,0.4432392304241043
dub,100.0,0.4428696896658953
goth,0.1,0.44161161069314925
deep-house,0.1,0.44117964823483735
black-metal,1.0,0.43908041414184656
chill,0.1,0.43869694928040354
samba,100.0,0.43774300836449587
minimal-techno,1.0,0.43741904456743813
progressive-house,1.0,0.43719821508993484
indian,1.0,0.4352585584318627
gospel,1.0,0.431386047277819
dubstep,1.0,0.4304484053374176
opera,100.0,0.4289563157753161
emo,1.0,0.42794986613965014
pop-film,10.0,0.42586336842159545
heavy-metal,1.0,0.4245023130002338
alternative,1.0,0.423145160018377
indie-pop,1.0,0.4216748408011835
punk-rock,10.0,0.4215297130375838
afrobeat,0.1,0.4207393178040909
kids,100.0,0.4185630399871886
r-n-b,10.0,0.4183480925807269
malay,100.0,0.41809043617446984
funk,0.1,0.41791668139839666
mpb,1.0,0.41692961413473517
alt-rock,0.1,0.41640320396743824
psych-rock,0.1,0.41454720669782485
punk,10.0,0.4142154685099112
edm,1.0,0.4110478229635956
dance,1.0,0.4109151965452629
ambient,100.0,0.41082415994914906
detroit-techno,10.0,0.4095836450961043
trip-hop,1.0,0.40954664400060625
pop,0.1,0.4072610940970195
idm,10.0,0.4059112765458767
electronic,0.1,0.4053789861289804
bluegrass,0.1,0.40503986613126336
chicago-house,100.0,0.40476792140197226
grindcore,0.1,0.4037558041881117
country,1.0,0.4030780450835197
german,0.1,0.40275738269328015
anime,0.1,0.40106845553748977
hip-hop,10.0,0.40008886865901144
dancehall,1.0,0.39835203911696093
rock-n-roll,1.0,0.3981491234742707
house,0.1,0.39673497754416165
grunge,100.0,0.3961549532827822
synth-pop,1.0,0.3946860993725072
power-pop,1.0,0.3895870028375944
party,100.0,0.3881718821311142
metal,0.1,0.3859045972742663
latino,1.0,0.38527403274675087
brazil,1.0,0.3841489451038068
turkish,1.0,0.38308651926915405
electro,100.0,0.38236804289839743
honky-tonk,0.1,0.38057181841569526
reggaeton,100.0,0.37698424499690286
songwriter,1.0,0.37625256795763706
ska,1.0,0.3738926405375227
forro,10.0,0.3693859076083662
sertanejo,0.1,0.36918038428273575
pagode,0.1,0.3653880947136702
singer-songwriter,1.0,0.36076254076890046
j-idol,100.0,0.3493720422979257
salsa,0.1,0.33961815451878374
