genre,best_C,n_components_90,cv_f1
classical,1.0,8,0.6354287724670123
sleep,0.01,7,0.627595819294678
hardcore,0.001,9,0.6241847060845778
k-pop,1.0,9,0.5827962823896305
drum-and-bass,0.1,8,0.571533974652425
trance,0.001,9,0.5392837317338642
groove,1.0,9,0.534856801933946
soul,0.1,9,0.5238881645661306
rockabilly,0.001,8,0.521342781791079
jazz,0.001,9,0.5196749210135991
iranian,1.0,9,0.5115507065894201
guitar,0.1,8,0.5032787603409139
cantopop,0.1,8,0.4942904408085105
swedish,1.0,9,0.49346467872232863
british,0.01,9,0.483401614488571
spanish,0.01,9,0.4830078516203982
french,10.0,10,0.4828470062756707
comedy,1.0,7,0.4802211817862115
folk,0.001,9,0.4781030237500035
j-dance,0.001,9,0.47745241686418155
j-pop,0.01,8,0.47342065500642416
hard-rock,0.1,9,0.4692952430984369
breakbeat,0.1,7,0.4660396783032388
piano,1.0,7,0.4655201195527766
garage,0.001,10,0.4648364439092916
j-rock,0.01,8,0.46421179530296214
blues,0.1,9,0.4636358925933551
mandopop,10.0,8,0.4626613338983436
disney,0.001,9,0.4578957242280618
hardstyle,100.0,9,0.4556437970810173
study,0.1,10,0.4545650060998585
happy,0.1,9,0.45451082251082253
disco,100.0,9,0.45359736771434384
club,1.0,10,0.45283829486362315
metalcore,0.01,8,0.4524173215351223
techno,1.0,9,0.45067824321965944
romance,0.1,8,0.450231759433243
new-age,0.001,8,0.4477577268123748
opera,1.0,8,0.4435573183867979
acoustic,1.0,9,0.44249523830350973
rock,0.01,8,0.4403445885013941
latin,10.0,9,0.4393779929442287
tango,0.01,9,0.4374684424642504
alternative,0.01,9,0.4369085279544539
indian,1.0,9,0.4365762828158465
world-music,0.001,8,0.43502532628154744
kids,1.0,9,0.43497161577900745
heavy-metal,0.1,9,0.43199511533872437
industrial,1.0,10,0.4317920288432184
children,0.001,9,0.4315654211370082
samba,10.0,9,0.431314383364698
reggae,0.1,8,0.4309572380163373
psych-rock,0.001,9,0.43088592686269955
afrobeat,0.01,10,0.42985014985014985
funk,1.0,9,0.428553303335912
death-metal,1.0,8,0.42612945033684585
indie,1.0,9,0.42595917685362555
chill,0.1,9,0.4239473467708762
progressive-house,10.0,9,0.42355888025467275
show-tunes,0.001,9,0.4221795097498956
sad,0.001,9,0.4220074528424814
deep-house,0.001,8,0.4211752125451074
minimal-techno,1.0,8,0.4209606462157566
goth,0.1,10,0.42046945277639197
alt-rock,1.0,9,0.4201619137520817
trip-hop,10.0,10,0.41909599434748596
bluegrass,0.01,9,0.41599431007481275
anime,0.001,9,0.41475638285004546
dub,10.0,9,0.4119671441675036
hip-hop,0.01,9,0.4109544708165398
turkish,0.001,9,0.4080384840062755
grindcore,10.0,9,0.4067732267732268
gospel,0.001,8,0.4062805569021354
electronic,0.001,10,0.40599457708113107
black-metal,0.1,9,0.4046108564136496
pop-film,0.1,9,0.4045702747081171
power-pop,10.0,9,0.40258865614410705
grunge,0.1,8,0.4023144597338145
mpb,0.001,8,0.4021090669642044
german,0.001,9,0.40165571787443755
dance,0.1,8,0.4014913574106713
emo,0.001,9,0.4013937456898672
party,0.1,8,0.3990483754433102
pop,0.001,8,0.39817600243752505
reggaeton,0.001,8,0.3961385345749636
r-n-b,0.001,9,0.39488000654428196
indie-pop,0.001,9,0.39390893325441106
house,1.0,9,0.39328842270616154
dancehall,0.01,9,0.3931614629726758
malay,0.01,9,0.39101900759431957
honky-tonk,1.0,8,0.3896201738962996
chicago-house,0.1,7,0.38749666103455266
country,1.0,8,0.3868582552941532
ambient,1.0,8,0.38610394055222585
metal,0.001,9,0.3843952952874671
songwriter,0.01,9,0.38369274506066964
dubstep,1.0,10,0.38337908103271234
idm,100.0,10,0.3775171715346068
ska,1.0,9,0.37575652378025615
edm,0.1,9,0.37329380311665905
pagode,1.0,7,0.37312398615555253
synth-pop,0.001,9,0.37237127045180013
sertanejo,0.1,8,0.3689045861384766
punk-rock,0.001,9,0.3676246132843268
rock-n-roll,0.01,8,0.36742828402801103
detroit-techno,0.001,8,0.3663013135306188
singer-songwriter,0.001,9,0.36277121806956475
electro,0.1,9,0.36253927536353553
punk,0.01,9,0.35194071838084706
latino,0.001,8,0.35184754645507177
forro,0.1,8,0.3495915907013787
j-idol,0.001,9,0.34555346270275283
brazil,1.0,9,0.3403267242161924
salsa,0.001,8,0.3397958718548604
