genre,baseline_f1,pca_f1,pls_f1
classical,0.6917960088691796,0.6354287724670123,0.6525112236940289
sleep,0.6716141001855288,0.627595819294678,0.6585732864014198
hardcore,0.6308492201039861,0.6241847060845778,0.6332939920703721
k-pop,0.5915492957746479,0.5827962823896305,0.5703033112526144
drum-and-bass,0.5744047619047619,0.571533974652425,0.5437388236918146
rockabilly,0.5619834710743802,0.521342781791079,0.5793645469330718
iranian,0.5520833333333334,0.5115507065894201,0.5320359469364083
groove,0.5490196078431373,0.534856801933946,0.5550716752713363
trance,0.5442708333333334,0.5392837317338642,0.536778598319908
jazz,0.5406824146981627,0.5196749210135991,0.5601290934446945
guitar,0.5325077399380805,0.5032787603409139,0.5274347244374303
soul,0.5291607396870555,0.5238881645661306,0.536656967652799
swedish,0.5263157894736842,0.49346467872232863,0.535673728484479
piano,0.5171339563862928,0.4655201195527766,0.4988972566591728
comedy,0.5130718954248366,0.4802211817862115,0.5197480218197917
metalcore,0.50187265917603,0.4524173215351223,0.5071703004414947
french,0.5011337868480725,0.4828470062756707,0.5123543421632594
cantopop,0.4993103448275862,0.4942904408085105,0.5081838018226159
new-age,0.49877750611246946,0.4477577268123748,0.47031410456923395
spanish,0.49770992366412214,0.4830078516203982,0.5033668669402618
blues,0.4970691676436108,0.4636358925933551,0.495840940880311
folk,0.4963924963924964,0.4781030237500035,0.48184296058430515
breakbeat,0.4948148148148148,0.4660396783032388,0.5068901542704735
sad,0.49256900212314225,0.4220074528424814,0.4930023530301
r-n-b,0.4919278252611586,0.39488000654428196,0.47464900522071013
mandopop,0.4894067796610169,0.4626613338983436,0.48698066967854975
children,0.4845814977973568,0.4315654211370082,0.47867525341949896
disney,0.48431618569636137,0.4578957242280618,0.48067372146852944
mpb,0.48377125193199383,0.4021090669642044,0.4537180004225833
latin,0.4837291116974494,0.4393779929442287,0.462304067350445
hard-rock,0.48318804483188044,0.4692952430984369,0.4916750979568919
british,0.4830097087378641,0.483401614488571,0.4948489304147148
j-pop,0.48180677540777916,0.47342065500642416,0.4861702227819974
j-dance,0.4817001180637544,0.47745241686418155,0.4775213853954242
garage,0.47770700636942676,0.4648364439092916,0.48947579517119755
j-rock,0.4759284731774415,0.46421179530296214,0.4914374235443376
acoustic,0.47477744807121663,0.44249523830350973,0.4541447213220596
romance,0.47374847374847373,0.450231759433243,0.47657549232549173
show-tunes,0.47115384615384615,0.4221795097498956,0.4814027057695872
industrial,0.4688995215311005,0.4317920288432184,0.46701545252014043
world-music,0.46855059252506837,0.43502532628154744,0.46732076572852244
samba,0.46782431052093976,0.431314383364698,0.4540988443020842
pop,0.46648793565683644,0.39817600243752505,0.4431452963250965
disco,0.46557377049180326,0.45359736771434384,0.48123101965522064
chill,0.4650735294117647,0.4239473467708762,0.4399830810887906
study,0.4633663366336634,0.4545650060998585,0.47326711547859335
club,0.4630541871921182,0.45283829486362315,0.4746882924989844
tango,0.46236559139784944,0.4374684424642504,0.46628882714445297
indie,0.4622792937399679,0.42595917685362555,0.4816602467267582
gospel,0.4617067833698031,0.4062805569021354,0.4338123158121062
hardstyle,0.4592391304347826,0.4556437970810173,0.4772531725067184
rock,0.45919778699861685,0.4403445885013941,0.47358665904156105
dub,0.4590909090909091,0.4119671441675036,0.4637194817978096
happy,0.45897435897435895,0.45451082251082253,0.4821410995743012
funk,0.4581497797356828,0.428553303335912,0.4288062052364112
dubstep,0.4580584354382658,0.38337908103271234,0.4497617700276903
bluegrass,0.4566929133858268,0.41599431007481275,0.443956683301184
reggae,0.45667125171939477,0.4309572380163373,0.4708327163488132
indie-pop,0.45588235294117646,0.39390893325441106,0.4351185165075487
death-metal,0.4544287548138639,0.42612945033684585,0.4638268640789649
deep-house,0.45391476709613476,0.4211752125451074,0.4568299634925402
forro,0.4527402700555997,0.3495915907013787,0.4285002554986437
hip-hop,0.451271186440678,0.4109544708165398,0.4586441215475984
progressive-house,0.4507317073170732,0.42355888025467275,0.4576928401259582
minimal-techno,0.44815256257449343,0.4209606462157566,0.4419459219858156
techno,0.4464993394980185,0.45067824321965944,0.4587153635800507
black-metal,0.4449489216799092,0.4046108564136496,0.4443372889222454
emo,0.44493882091212456,0.4013937456898672,0.4466714811607179
indian,0.44471445929526127,0.4365762828158465,0.4682553280673162
malay,0.443859649122807,0.39101900759431957,0.42923447058221126
metal,0.44282238442822386,0.3843952952874671,0.41392346503093014
