genre,best_n_components,cv_f1
sleep,4,0.6585732864014198
classical,4,0.6525112236940289
hardcore,2,0.6332939920703721
rockabilly,2,0.5793645469330718
k-pop,2,0.5703033112526144
jazz,6,0.5601290934446945
groove,6,0.5550716752713363
drum-and-bass,3,0.5437388236918146
trance,6,0.536778598319908
soul,3,0.536656967652799
swedish,4,0.535673728484479
iranian,6,0.5320359469364083
guitar,4,0.5274347244374303
comedy,3,0.5197480218197917
french,2,0.5123543421632594
cantopop,1,0.5081838018226159
metalcore,4,0.5071703004414947
breakbeat,3,0.5068901542704735
spanish,5,0.5033668669402618
piano,3,0.4988972566591728
blues,2,0.495840940880311
british,2,0.4948489304147148
sad,1,0.4930023530301
hard-rock,5,0.4916750979568919
j-rock,5,0.4914374235443376
garage,2,0.48947579517119755
mandopop,1,0.48698066967854975
j-pop,2,0.4861702227819974
happy,2,0.4821410995743012
folk,2,0.48184296058430515
indie,4,0.4816602467267582
show-tunes,5,0.4814027057695872
disco,4,0.48123101965522064
disney,5,0.48067372146852944
children,4,0.47867525341949896
j-dance,2,0.4775213853954242
hardstyle,4,0.4772531725067184
romance,1,0.47657549232549173
club,3,0.4746882924989844
r-n-b,3,0.47464900522071013
rock,6,0.47358665904156105
study,3,0.47326711547859335
reggae,4,0.4708327163488132
new-age,6,0.47031410456923395
indian,2,0.4682553280673162
world-music,3,0.46732076572852244
industrial,2,0.46701545252014043
tango,6,0.46628882714445297
death-metal,1,0.4638268640789649
dub,6,0.4637194817978096
latin,1,0.462304067350445
goth,2,0.460502771111971
turkish,1,0.45895892725161025
techno,4,0.4587153635800507
hip-hop,1,0.4586441215475984
progressive-house,2,0.4576928401259582
deep-house,3,0.4568299634925402
afrobeat,1,0.4545862745716011
acoustic,1,0.4541447213220596
samba,2,0.4540988443020842
mpb,2,0.4537180004225833
opera,5,0.45329791130364433
alternative,3,0.4525321917805317
dubstep,6,0.4497617700276903
kids,3,0.4479156063556361
idm,3,0.44757879014876345
emo,3,0.4466714811607179
trip-hop,3,0.44646320763852687
pop-film,2,0.4463528619202811
black-metal,6,0.4443372889222454
bluegrass,2,0.443956683301184
grindcore,2,0.44325423232771904
psych-rock,1,0.44324624623880116
pop,2,0.4431452963250965
minimal-techno,4,0.4419459219858156
dance,2,0.440498970615759
chicago-house,2,0.44044525907346666
chill,4,0.4399830810887906
detroit-techno,1,0.4399013667641931
punk,5,0.4398899465947605
alt-rock,2,0.43947552110088833
rock-n-roll,3,0.4381076514683427
indie-pop,1,0.4351185165075487
gospel,2,0.4338123158121062
heavy-metal,1,0.4336102204149773
electronic,1,0.43178992302897184
ambient,2,0.43162192558637197
punk-rock,4,0.43092853289412164
malay,4,0.42923447058221126
edm,3,0.428979908979909
funk,3,0.4288062052364112
forro,1,0.4285002554986437
anime,1,0.425822710782393
country,2,0.4233356279764432
german,1,0.4212241805774387
power-pop,1,0.41982195560015845
grunge,2,0.4185136957128733
pagode,1,0.4177985943961187
dancehall,1,0.41763435950427014
ska,1,0.4165151697432938
metal,1,0.41392346503093014
electro,3,0.41305665736688385
party,5,0.4126222417037207
synth-pop,6,0.41190895759605156
j-idol,1,0.41095894316595605
house,5,0.40934288343303554
reggaeton,1,0.40929824207860604
latino,6,0.40881521219549394
brazil,3,0.4076400531807039
songwriter,4,0.40480657662577874
singer-songwriter,4,0.3978038339759246
sertanejo,1,0.39709402109434444
honky-tonk,3,0.39668353970402037
salsa,1,0.3689830403764759
